
Iteration; Rate; AvgRate; NumberOfSensors 
367;97.90;78,28333;1
368;72.14;78,26664;1
370;84.03;78,24353;1
371;71.08;78,22421;1
373;125.62;78,39101;1
374;85.52;78,41008;1
376;118.16;78,51718;1
377;80.67;78,5229;1
379;161.26;78,73386;1
380;69.72;78,71014;1
382;87.13;78,71102;1
383;112.51;78,79928;1
385;116.15;78,90079;1
386;112.62;78,98814;1
388;97.60;79,02514;1
389;97.20;79,07186;1
391;85.48;79,08796;1
392;76.89;79,08236;1
394;92.44;79,13034;1
395;76.08;79,12263;1
397;70.93;79,07021;1
398;79.70;79,07179;1
400;94.47;79,15977;1
401;83.53;79,17068;1
403;108.03;79,33743;1
404;98.71;79,38538;1
406;100.28;79,48479;1
407;87.17;79,50366;1
409;93.08;79,57702;1
410;85.79;79,59217;1
412;78.97;79,56831;1
413;77.40;79,56305;1
415;110.55;79,68964;1
416;79.32;79,68875;1
418;79.65;79,6748;1
419;74.69;79,66292;1
421;132.77;79,78725;1
422;66.24;79,75516;1
424;102.12;79,77332;1
425;103.78;79,8298;1
427;84.14;79,83496;1
428;65.61;79,80173;1
430;118.10;79,94591;1
431;66.75;79,91529;1
433;121.14;79,99828;1
434;86.30;80,01279;1
436;107.43;80,08145;1
437;119.86;80,17247;1
439;93.08;80,18372;1
440;125.98;80,2878;1
442;88.90;80,27909;1
443;123.38;80,3764;1
445;81.46;80,42165;1
446;76.81;80,41356;1
448;83.26;80,45786;1
449;76.03;80,44799;1
451;104.43;80,51006;1
452;56.46;80,45685;1
454;110.87;80,4682;1
455;81.40;80,47026;1
457;110.58;80,5933;1
458;84.19;80,60115;1
460;102.89;80,6739;1
461;87.23;80,68813;1
463;93.28;80,78886;1
464;69.34;80,76419;1
466;78.62;80,72167;1
467;127.01;80,82079;1
469;90.78;80,86478;1
470;85.32;80,87426;1
472;85.40;80,85729;1
473;62.68;80,81886;1
475;93.08;80,80901;1
476;93.26;80,83516;1
478;101.28;80,8922;1
479;133.85;81,00275;1
481;103.32;81,04591;1
482;89.20;81,06282;1
484;85.75;81,08964;1
485;66.74;81,06004;1
487;141.20;81,18669;1
488;74.56;81,1731;1
490;77.35;81,14734;1
491;93.60;81,17269;1
493;74.07;81,18503;1
494;77.43;81,17744;1
496;94.69;81,17995;1
497;100.86;81,21955;1
499;110.15;81,23978;1
500;95.44;81,26819;1
502;85.36;81,30388;1
503;90.09;81,32134;1
505;83.76;81,38416;1
506;102.51;81,4259;1
508;96.53;81,51215;1
509;131.53;81,61041;1
511;104.41;81,64039;1
512;87.90;81,6526;1
514;76.75;81,64898;1
515;80.64;81,64702;1
517;125.09;81,79748;1
518;70.53;81,77572;1
520;43.93;81,65384;1
521;115.93;81,71963;1
523;94.63;81,73691;1
524;120.03;81,80998;1
526;160.26;81,95645;1
527;92.63;81,9767;1
529;142.32;82,07245;1
530;93.96;82,09489;1
532;130.17;82,18272;1
533;84.71;82,18746;1
535;97.69;82,17827;1
536;84.10;82,18185;1
538;89.37;82,19234;1
539;59.78;82,15076;1
541;89.23;82,18105;1
542;65.98;82,15117;1
544;73.92;82,05904;1
545;73.61;82,04353;1
547;120.35;82,12103;1
548;71.23;82,10116;1
550;89.88;82,07628;1
551;68.39;82,05145;1
553;83.77;82,0161;1
554;87.03;82,02514;1
556;96.28;82,05848;1
557;82.36;82,05901;1
559;95.95;82,14134;1
560;106.23;82,18436;1
562;68.99;82,19569;1
563;95.26;82,21891;1
565;106.61;82,31973;1
566;65.18;82,28944;1
568;108.20;82,33253;1
569;87.63;82,34184;1
571;100.08;82,35452;1
572;114.44;82,41062;1
574;134.34;82,49536;1
575;116.71;82,55486;1
577;106.59;82,58505;1
578;102.44;82,61941;1
580;100.72;82,66125;1
581;93.27;82,6795;1
583;114.17;82,71555;1
584;119.87;82,77917;1
586;77.96;82,71647;1
587;70.14;82,69505;1
589;117.99;82,72636;1
590;104.78;82,76374;1
592;91.54;82,73979;1
593;71.57;82,72095;1
595;106.30;82,76828;1
596;68.25;82,74393;1
598;67.91;82,69948;1
599;85.94;82,7049;1
601;94.02;82,71082;1
602;81.35;82,70856;1
604;81.62;82,70171;1
605;96.53;82,72456;1
607;89.82;82,77217;1
608;102.75;82,80503;1
610;89.99;82,85154;1
611;103.65;82,88558;1
613;76.10;82,89191;1
614;61.75;82,85747;1
616;85.20;82,85606;1
617;68.47;82,83275;1
619;83.15;82,85119;1
620;77.07;82,84187;1
622;83.51;82,86353;1
623;67.21;82,8384;1
625;108.53;82,8714;1
626;90.24;82,88316;1
