
Iteration; Rate; AvgRate
266;84.20;85,22897;
267;91.28;85,25163;
268;109.29;85,34134;
269;102.34;85,40452;
270;112.75;85,5058;
271;90.98;85,526;
272;88.22;85,5359;
273;105.50;85,60901;
274;105.55;85,68177;
275;73.63;85,63793;
276;118.62;85,75743;
277;85.81;85,75761;
278;88.07;85,76591;
279;83.38;85,75735;
280;111.10;85,84785;
281;89.14;85,85957;
282;101.16;85,91383;
283;100.82;85,96651;
284;99.19;86,01308;
285;80.98;85,9954;
286;107.70;86,0713;
287;79.03;86,04676;
288;107.72;86,12202;
289;125.94;86,25979;
290;93.22;86,28378;
291;98.00;86,32404;
292;97.42;86,36203;
293;83.67;86,35286;
294;141.46;86,54031;
295;101.93;86,59247;
296;107.42;86,66282;
297;76.56;86,62878;
298;78.30;86,60082;
299;74.85;86,56152;
300;77.17;86,53022;
301;87.79;86,5344;
302;113.41;86,62341;
303;88.40;86,62927;
304;67.94;86,56781;
305;89.88;86,57867;
306;104.74;86,63802;
307;93.14;86,6592;
308;98.92;86,69901;
309;92.24;86,71694;
310;68.78;86,65907;
311;51.14;86,54486;
312;87.64;86,54837;
313;70.95;86,49853;
314;98.16;86,53568;
315;76.68;86,50441;
316;86.65;86,50487;
317;70.12;86,45317;
318;43.28;86,31739;
319;48.05;86,19742;
320;67.55;86,13914;
321;71.70;86,09418;
322;93.71;86,11784;
323;66.56;86,0573;
324;64.11;85,98955;
325;83.36;85,98145;
326;83.08;85,97256;
327;69.85;85,92325;
328;59.94;85,84402;
329;112.34;85,92455;
330;84.49;85,9202;
331;89.37;85,93063;
332;65.27;85,8684;
333;80.96;85,85365;
334;70.65;85,80812;
335;88.98;85,8176;
336;64.82;85,75512;
337;74.54;85,72185;
338;94.32;85,7473;
339;57.33;85,66347;
340;58.62;85,58394;
341;76.03;85,55593;
342;54.44;85,46494;
343;74.59;85,43322;
344;95.85;85,46351;
345;89.69;85,47575;
346;99.39;85,51596;
347;81.88;85,50549;
348;66.59;85,45113;
