
Iteration; Rate; AvgRate; TotalNumberOfActions 
245;60.00;59,43113;12
246;60.00;59,43344;12
247;60.00;59,43573;12
248;60.00;59,43801;12
249;60.00;59,44027;12
250;60.00;59,4425;12
251;60.00;59,44473;12
252;60.00;59,44693;12
253;60.00;59,44912;12
254;60.00;59,45129;12
255;60.00;59,45344;12
256;60.00;59,45557;12
257;60.00;59,45769;12
258;60.00;59,45979;12
259;60.00;59,46188;12
260;60.00;59,46395;12
261;60.00;59,466;12
262;60.00;59,46804;12
263;60.00;59,47006;12
264;60.00;59,47207;12
265;60.00;59,47406;12
266;60.00;59,47604;11
267;60.00;59,478;10
268;60.00;59,47995;9
269;60.00;59,48188;8
270;60.00;59,4838;7
271;60.00;59,4857;7
272;60.00;59,48759;7
273;60.00;59,48947;7
274;60.00;59,49133;7
275;60.00;59,49318;7
276;60.00;59,49502;7
277;60.00;59,49684;7
278;60.00;59,49865;7
279;60.00;59,50045;7
280;60.00;59,50224;7
281;60.00;59,50401;7
282;60.00;59,50576;7
283;60.00;59,50751;7
284;60.00;59,50925;7
285;60.00;59,51097;7
286;60.00;59,51268;7
287;60.00;59,51437;7
288;60.00;59,51606;7
289;60.00;59,51773;7
290;60.00;59,5194;7
291;60.00;59,52105;6
292;60.00;59,52269;5
293;60.00;59,52432;4
294;60.00;59,52594;3
295;60.00;59,52754;2
296;60.00;59,52914;1
297;60.00;59,53072;1
298;60.00;59,5323;1
299;60.00;59,53386;1
300;60.00;59,53542;1
301;60.00;59,53696;51
302;60.00;59,53849;51
303;60.00;59,54002;51
304;60.00;59,54153;51
305;60.00;59,54303;51
306;60.00;59,54453;51
307;60.00;59,54601;51
308;60.00;59,54749;71
309;60.00;59,54895;71
310;60.00;59,5504;71
311;60.00;59,55185;71
312;60.00;59,55329;71
313;60.00;59,55471;71
314;60.00;59,55613;71
315;60.00;59,55754;71
316;60.00;59,55894;71
317;60.00;59,56033;71
318;60.00;59,56171;71
319;60.00;59,56309;71
320;60.00;59,56445;71
321;60.00;59,56581;71
322;60.00;59,56716;71
323;60.00;59,5685;71
324;60.00;59,56983;71
325;60.00;59,57116;71
326;60.00;59,57247;71
327;60.00;59,57378;70
328;60.00;59,57508;70
329;60.00;59,57637;70
330;60.00;59,57766;70
331;60.00;59,57894;70
