
Iteration; Rate; AvgRate
266;60.00;59,49453;
267;60.00;59,49642;
268;60.00;59,4983;
269;60.00;59,50017;
270;60.00;59,50202;
271;60.00;59,50386;
272;60.00;59,50568;
273;60.00;59,50749;
274;60.00;59,50929;
275;60.00;59,51107;
276;60.00;59,51284;
277;60.00;59,5146;
278;60.00;59,51635;
279;60.00;59,51808;
280;60.00;59,5198;
281;60.00;59,52151;
282;60.00;59,52321;
283;60.00;59,52489;
284;60.00;59,52657;
285;60.00;59,52823;
286;60.00;59,52988;
287;60.00;59,53152;
288;60.00;59,53314;
289;60.00;59,53476;
290;60.00;59,53637;
291;60.00;59,53796;
292;60.00;59,53954;
293;60.00;59,54111;
294;60.00;59,54268;
295;60.00;59,54422;
296;60.00;59,54576;
297;60.00;59,54729;
298;60.00;59,54881;
299;60.00;59,55032;
300;60.00;59,55182;
301;60.00;59,55331;
302;60.00;59,55479;
303;60.00;59,55626;
304;60.00;59,55772;
305;60.00;59,55917;
306;60.00;59,56061;
307;60.00;59,56204;
308;60.00;59,56347;
309;60.00;59,56488;
310;60.00;59,56628;
311;60.00;59,56768;
312;60.00;59,56906;
313;60.00;59,57044;
314;60.00;59,57181;
315;60.00;59,57317;
316;60.00;59,57452;
317;60.00;59,57586;
318;60.00;59,57719;
319;60.00;59,57852;
320;60.00;59,57983;
321;60.00;59,58114;
322;60.00;59,58244;
323;60.00;59,58374;
324;60.00;59,58502;
325;60.00;59,5863;
326;60.00;59,58757;
327;60.00;59,58883;
328;60.00;59,59009;
329;60.00;59,59134;
330;60.00;59,59258;
331;60.00;59,59381;
332;60.00;59,59503;
333;60.00;59,59625;
334;60.00;59,59746;
335;60.00;59,59866;
336;60.00;59,59985;
337;60.00;59,60104;
338;60.00;59,60222;
339;60.00;59,60339;
340;60.00;59,60456;
341;60.00;59,60572;
342;60.00;59,60687;
343;60.00;59,60802;
344;60.00;59,60916;
345;60.00;59,61029;
346;60.00;59,61142;
347;60.00;59,61254;
348;60.00;59,61365;
349;60.00;59,61476;
350;60.00;59,61586;
351;60.00;59,61695;
352;60.00;59,61804;
353;60.00;59,61913;
354;60.00;59,6202;
355;60.00;59,62127;
356;60.00;59,62233;
357;60.00;59,62339;
358;60.00;59,62444;
359;60.00;59,62549;
360;60.00;59,62653;
361;60.00;59,62756;
362;60.00;59,62859;
363;60.00;59,62962;
364;60.00;59,63063;
365;60.00;59,63165;
366;60.00;59,63265;
367;60.00;59,63365;
368;60.00;59,63465;
369;60.00;59,63564;
370;60.00;59,63662;
371;60.00;59,6376;
372;60.00;59,63858;
373;60.00;59,63955;
