
Iteration; Rate; AvgRate; NumberOfSensors 
367;88.68;73,32977;1
368;62.22;73,29958;1
370;88.12;73,37505;1
371;72.33;73,37224;1
373;93.43;73,48551;1
374;85.96;73,51888;1
376;80.50;73,51966;1
377;90.72;73,56528;1
379;137.62;73,72823;1
380;70.66;73,72015;1
382;76.59;73,72485;1
383;85.07;73,75446;1
385;73.37;73,77803;1
386;92.79;73,82729;1
388;89.74;73,8521;1
389;120.37;73,97169;1
391;83.67;73,99999;1
392;68.96;73,98714;1
394;102.71;74,02686;1
395;97.41;74,08605;1
397;84.62;74,10257;1
398;104.02;74,17774;1
400;94.03;74,25993;1
401;82.01;74,27927;1
403;81.12;74,35189;1
404;53.85;74,30114;1
406;110.95;74,3266;1
407;68.60;74,31254;1
409;122.12;74,42503;1
410;84.44;74,44944;1
412;114.30;74,56138;1
413;100.92;74,62519;1
415;85.63;74,6671;1
416;104.92;74,73981;1
418;101.11;74,82546;1
419;26.34;74,70975;1
421;156.66;74,93818;1
422;72.92;74,93339;1
424;59.79;74,99628;1
425;109.45;75,07733;1
427;61.40;75,09929;1
428;79.65;75,10991;1
430;28.33;75,03969;1
431;84.96;75,06271;1
433;70.73;75,09046;1
434;88.19;75,12064;1
436;98.41;75,14603;1
437;95.69;75,19304;1
439;92.60;75,21584;1
440;68.96;75,20162;1
442;72.88;75,26974;1
443;71.31;75,2608;1
445;96.96;75,30138;1
446;85.55;75,32436;1
448;79.94;75,32068;1
449;65.32;75,29842;1
451;81.66;75,32737;1
452;72.49;75,32108;1
454;111.70;75,42362;1
455;80.50;75,43478;1
457;103.57;75,54356;1
458;85.09;75,56439;1
460;105.22;75,65459;1
461;77.65;75,65891;1
463;98.83;75,6993;1
464;85.80;75,72107;1
466;96.95;75,79266;1
467;85.35;75,81313;1
469;98.72;75,8748;1
470;77.68;75,87863;1
472;96.99;75,96947;1
473;70.21;75,95731;1
475;94.76;75,98081;1
476;118.13;76,06936;1
478;83.90;76,07177;1
479;98.53;76,11866;1
481;79.92;76,16088;1
482;76.92;76,16246;1
484;96.93;76,29102;1
485;65.47;76,26871;1
487;127.66;76,37377;1
488;90.07;76,40183;1
