1;facts 32.00ms 
;solver 111.00ms 
2;facts 2.00ms 
;solver 116.00ms 
3;facts 2.00ms 
;solver 94.00ms 
4;facts 2.00ms 
;solver 104.00ms 
5;facts 2.00ms 
;solver 116.00ms 
6;facts 2.00ms 
;solver 105.00ms 
7;facts 2.00ms 
;solver 114.00ms 
8;facts 1.00ms 
;solver 99.00ms 
9;facts 1.00ms 
;solver 105.00ms 
10;facts 1.00ms 
;solver 104.00ms 
11;facts 1.00ms 
;solver 111.00ms 
12;facts 1.00ms 
;solver 115.00ms 
13;facts 2.00ms 
;solver 100.00ms 
14;facts 2.00ms 
;solver 121.00ms 
15;facts 2.00ms 
;solver 114.00ms 
16;facts 2.00ms 
;solver 126.00ms 
17;facts 1.00ms 
;solver 136.00ms 
18;facts 1.00ms 
;solver 197.00ms 
19;facts 2.00ms 
;solver 272.00ms 
20;facts 1.00ms 
;solver 510.00ms 
21;facts 2.00ms 
;solver 671.00ms 
22;facts 2.00ms 
;solver 1,157.00ms 
23;facts 2.00ms 
;solver 3,000.00ms 
